name,length,vocabulary,volume,difficulty,effort,level,bugs,time,intelligentContent,number_operators,number_operands,number_operators_unique,number_operands_unique,ccn,ccnMethodMax,kanDefect,mi,mIwoC,commentWeight,externals,parents,lcom,relativeStructuralComplexity,relativeDataComplexity,relativeSystemComplexity,totalStructuralComplexity,totalDataComplexity,totalSystemComplexity,cloc,loc,lloc,methods,nbMethodsIncludingGettersSetters,nbMethods,nbMethodsPrivate,nbMethodsPublic,nbMethodsGetter,nbMethodsSetters,afferentCoupling,efferentCoupling,instability,depthOfInheritanceTree,pageRank
"Shrikeh\Cqrs\Message\Exception\MessageException",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,0,0.15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,3,1,0.25,N/A,0.06
"Shrikeh\Cqrs\Message\Result",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,0,0.15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,2,1,0.33,N/A,0.02
"Shrikeh\Cqrs\Message\Query",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,0,0.15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,1,1,0.5,N/A,0.02
"Shrikeh\Cqrs\Message\Command",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,0,0.15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,1,1,0.5,N/A,0.02
"Shrikeh\Cqrs\Message\Query\Exception\QueryException",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,0,0.15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,1,1,N/A,0.01
"Shrikeh\Cqrs\Message\Query\Attribute\AsQuery",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.15,209.99,171,38.99,N/A,N/A,1,1,0,1,1,0,1,4,12,8,N/A,1,1,0,1,0,0,0,1,1,N/A,0.01
"Shrikeh\Cqrs\Message\Result\Exception\ResultException",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,0,0.15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,1,1,N/A,0.01
"Shrikeh\Cqrs\Message\Result\Attribute\AsResult",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.15,209.99,171,38.99,N/A,N/A,1,1,0,1,1,0,1,4,12,8,N/A,1,1,0,1,0,0,0,1,1,N/A,0.01
"Shrikeh\Cqrs\Message\Attribute\AsMessage",1,1,0,0,0,2,0,0,0,0,1,0,1,1,1,0.15,211.21,171,40.21,N/A,N/A,1,0,1,1,0,1,1,4,11,7,N/A,1,1,1,0,0,0,3,1,0.25,N/A,0.06
"Shrikeh\Cqrs\Message\Command\Exception\CommandException",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,0,0.15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,1,1,N/A,0.01
"Shrikeh\Cqrs\Message\Command\Attribute\AsCommand",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.15,209.99,171,38.99,N/A,N/A,1,1,0,1,1,0,1,4,12,8,N/A,1,1,0,1,0,0,0,1,1,N/A,0.01
"Shrikeh\Cqrs\Bus",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,0,0.15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,2,0,0,N/A,0.02
"Shrikeh\Cqrs\Handler",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,0,0.15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,2,0,0,N/A,0.05
